participant_number,participant_id,vis,vis_key,rating,ease_of_reading,learnability,confidence,aesthetics,age,gender,highest_degree,attention_check,platform,browser,input_device,input_device_skill
12,62c35e9517e15b36b957a678,Radial Bar Chart,radial,4,4,4,4,4,39,Male,High School,5,Linux,Chrome,A regular mouse,4 = Good
12,62c35e9517e15b36b957a678,Blossom Glyph,blossom,4,4,4,4,4,39,Male,High School,5,Linux,Chrome,A regular mouse,4 = Good
13,699198e00ef2a3ec51fef431,Diverging Bar Chart,diverging,5,5,5,5,5,45,Male,Bachelors,5,Windows,Internet Explorer,A regular mouse,5 = Very Good
13,699198e00ef2a3ec51fef431,Radial Bar Chart,radial,5,5,5,5,5,45,Male,Bachelors,5,Windows,Internet Explorer,A regular mouse,5 = Very Good
13,699198e00ef2a3ec51fef431,Blossom Glyph,blossom,5,5,5,5,5,45,Male,Bachelors,5,Windows,Internet Explorer,A regular mouse,5 = Very Good
14,69ae70d4471a238f4194f006,Diverging Bar Chart,diverging,4.5,5,5,4,4,22,Female,High School,5,Windows,Chrome,A touchpad of Laptop,4 = Good
14,69ae70d4471a238f4194f006,Radial Bar Chart,radial,3.5,4,4,3,3,22,Female,High School,5,Windows,Chrome,A touchpad of Laptop,4 = Good
14,69ae70d4471a238f4194f006,Blossom Glyph,blossom,2.5,2,4,2,2,22,Female,High School,5,Windows,Chrome,A touchpad of Laptop,4 = Good
15,67e6e99634be5e57bbd2553f,Diverging Bar Chart,diverging,5,5,5,5,5,28,Male,Masters,5,Windows,Chrome,A regular mouse,5 = Very Good
15,67e6e99634be5e57bbd2553f,Radial Bar Chart,radial,4.75,5,5,5,4,28,Male,Masters,5,Windows,Chrome,A regular mouse,5 = Very Good
15,67e6e99634be5e57bbd2553f,Blossom Glyph,blossom,4,4,4,4,4,28,Male,Masters,5,Windows,Chrome,A regular mouse,5 = Very Good
16,5e8f53644b34ff22d9b3a1c5,Diverging Bar Chart,diverging,3.5,4,4,3,3,43,Male,High School,5,Windows,FireFox,A touchpad of Laptop,4 = Good
16,5e8f53644b34ff22d9b3a1c5,Radial Bar Chart,radial,3.5,4,4,3,3,43,Male,High School,5,Windows,FireFox,A touchpad of Laptop,4 = Good
16,5e8f53644b34ff22d9b3a1c5,Blossom Glyph,blossom,2.75,3,3,3,2,43,Male,High School,5,Windows,FireFox,A touchpad of Laptop,4 = Good
17,66a7e128f37f34ca658be38b,Diverging Bar Chart,diverging,4,2,5,5,4,20,Male,High School,5,MAC,Chrome,A touchpad of Laptop,5 = Very Good
17,66a7e128f37f34ca658be38b,Radial Bar Chart,radial,5,5,5,5,5,20,Male,High School,5,MAC,Chrome,A touchpad of Laptop,5 = Very Good
17,66a7e128f37f34ca658be38b,Blossom Glyph,blossom,1.5,1,2,2,1,20,Male,High School,5,MAC,Chrome,A touchpad of Laptop,5 = Very Good
18,683cbc0c0c2d722831c8bc17,Diverging Bar Chart,diverging,5,5,5,5,5,49,Female,Masters,5,Windows,Chrome,A regular mouse,5 = Very Good
18,683cbc0c0c2d722831c8bc17,Radial Bar Chart,radial,4,4,4,4,4,49,Female,Masters,5,Windows,Chrome,A regular mouse,5 = Very Good
18,683cbc0c0c2d722831c8bc17,Blossom Glyph,blossom,2,1,2,4,1,49,Female,Masters,5,Windows,Chrome,A regular mouse,5 = Very Good
19,6638068d9ab49383d1fe00ae,Diverging Bar Chart,diverging,4,4,4,4,4,42,Female,Bachelors,5,Windows,Chrome,A regular mouse,5 = Very Good
19,6638068d9ab49383d1fe00ae,Radial Bar Chart,radial,4,4,4,4,4,42,Female,Bachelors,5,Windows,Chrome,A regular mouse,5 = Very Good
19,6638068d9ab49383d1fe00ae,Blossom Glyph,blossom,3.5,4,4,4,2,42,Female,Bachelors,5,Windows,Chrome,A regular mouse,5 = Very Good
20,6987a1e2280a50ce4b099a98,Diverging Bar Chart,diverging,3.75,4,4,4,3,37,Male,Bachelors,5,Windows,Chrome,A regular mouse,5 = Very Good
20,6987a1e2280a50ce4b099a98,Radial Bar Chart,radial,4.5,5,5,4,4,37,Male,Bachelors,5,Windows,Chrome,A regular mouse,5 = Very Good
20,6987a1e2280a50ce4b099a98,Blossom Glyph,blossom,3,2,2,3,5,37,Male,Bachelors,5,Windows,Chrome,A regular mouse,5 = Very Good
21,6985f4fbf0d138e1b1231702,Diverging Bar Chart,diverging,5,5,5,5,5,70,Female,High School,5,Windows,Chrome,A regular mouse,5 = Very Good
21,6985f4fbf0d138e1b1231702,Radial Bar Chart,radial,4.75,5,5,5,4,70,Female,High School,5,Windows,Chrome,A regular mouse,5 = Very Good
21,6985f4fbf0d138e1b1231702,Blossom Glyph,blossom,3,2,4,4,2,70,Female,High School,5,Windows,Chrome,A regular mouse,5 = Very Good
22,695fe9944e704fd2353901e3,Diverging Bar Chart,diverging,4,4,4,4,4,31,Male,Bachelors,5,MAC,Chrome,A regular mouse,5 = Very Good
22,695fe9944e704fd2353901e3,Radial Bar Chart,radial,2.75,2,3,3,3,31,Male,Bachelors,5,MAC,Chrome,A regular mouse,5 = Very Good
22,695fe9944e704fd2353901e3,Blossom Glyph,blossom,3.75,3,4,3,5,31,Male,Bachelors,5,MAC,Chrome,A regular mouse,5 = Very Good
23,629642bfde2bf56c1ec2a420,Diverging Bar Chart,diverging,5,5,5,5,5,40,Female,High School,5,Other,Chrome,A touchpad of Laptop,5 = Very Good
23,629642bfde2bf56c1ec2a420,Radial Bar Chart,radial,3.5,4,4,4,2,40,Female,High School,5,Other,Chrome,A touchpad of Laptop,5 = Very Good
23,629642bfde2bf56c1ec2a420,Blossom Glyph,blossom,2.75,3,2,4,2,40,Female,High School,5,Other,Chrome,A touchpad of Laptop,5 = Very Good
24,63474e67a5fd298c6103c409,Diverging Bar Chart,diverging,3.75,4,4,3,4,34,Male,High School,5,Windows,Chrome,A touchpad of Laptop,5 = Very Good
24,63474e67a5fd298c6103c409,Radial Bar Chart,radial,4,5,4,3,4,34,Male,High School,5,Windows,Chrome,A touchpad of Laptop,5 = Very Good
24,63474e67a5fd298c6103c409,Blossom Glyph,blossom,2.5,2,2,2,4,34,Male,High School,5,Windows,Chrome,A touchpad of Laptop,5 = Very Good
25,69a9dcac25a062cd320e83a1,Diverging Bar Chart,diverging,4.75,5,5,4,5,32,Female,Bachelors,5,MAC,Chrome,A touchpad of Laptop,5 = Very Good
25,69a9dcac25a062cd320e83a1,Radial Bar Chart,radial,4.5,5,5,5,3,32,Female,Bachelors,5,MAC,Chrome,A touchpad of Laptop,5 = Very Good
25,69a9dcac25a062cd320e83a1,Blossom Glyph,blossom,1.5,2,2,1,1,32,Female,Bachelors,5,MAC,Chrome,A touchpad of Laptop,5 = Very Good
26,698158ae43afcea4f821069c,Diverging Bar Chart,diverging,3.75,4,4,4,3,52,Female,High School,5,MAC,Chrome,A regular mouse,4 = Good
26,698158ae43afcea4f821069c,Radial Bar Chart,radial,4,4,4,4,4,52,Female,High School,5,MAC,Chrome,A regular mouse,4 = Good
26,698158ae43afcea4f821069c,Blossom Glyph,blossom,3,2,4,2,4,52,Female,High School,5,MAC,Chrome,A regular mouse,4 = Good
27,673feeafa80a279f5cc63e33,Diverging Bar Chart,diverging,4,4,4,4,4,62,Female,High School,5,Other,Chrome,A regular mouse,4 = Good
27,673feeafa80a279f5cc63e33,Radial Bar Chart,radial,3.5,4,4,4,2,62,Female,High School,5,Other,Chrome,A regular mouse,4 = Good
27,673feeafa80a279f5cc63e33,Blossom Glyph,blossom,2.75,3,4,2,2,62,Female,High School,5,Other,Chrome,A regular mouse,4 = Good
